Hotel_ID,Booking_ID,Product_ID,Purchased_Product,Booking_Date,Check_In_Date,Check_Out_Date,Distribution_Channel,Advance_Purchase,Party_Size,Length_of_Stay,Number_of_Rooms,Nightly_Rate,Total_Revenue,Purchased_Rate_Code,Purchased_Room_Type,Merge_Indicator,Arrival_Rate,Rate_Code,Rate_Description,Room_Type,Membership_Status,Enrollment_Date,VIP_Membership_Status,VIP_Enrollment_Date
5,1,1,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,95,Rate 2,Rack Rate - Unrestricted Rate,King Room 2 Non-Smoking,1,20070408,0,
5,1,2,1,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,105,Rate 2,Rack Rate - Unrestricted Rate,King Room 1 Non-Smoking,1,20070408,0,
5,1,3,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,95,Rate 2,Rack Rate - Unrestricted Rate,2 Double Beds Room 1 Non-Smoking,1,20070408,0,
5,1,4,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,95,Rate 2,Rack Rate - Unrestricted Rate,2 Double Beds Room 3 Non-Smoking,1,20070408,0,
5,1,5,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,105,Rate 2,Rack Rate - Unrestricted Rate,2 Double Beds Room 2 Non-Smoking,1,20070408,0,
5,1,6,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,95,Rate 2,Rack Rate - Unrestricted Rate,Double Bed Room 1 Non-Smoking,1,20070408,0,
5,1,7,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,135,Rate 2,Rack Rate - Unrestricted Rate,Suite 2 Non-Smoking,1,20070408,0,
5,1,8,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,135,Rate 2,Rack Rate - Unrestricted Rate,Suite 1 Non-Smoking,1,20070408,0,
5,1,9,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,115,Rate 3,Rack Rate Combined with Additional Hotel Services,King Room 2 Non-Smoking,1,20070408,0,
5,1,10,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,125,Rate 3,Rack Rate Combined with Additional Hotel Services,King Room 1 Non-Smoking,1,20070408,0,
5,1,11,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,115,Rate 3,Rack Rate Combined with Additional Hotel Services,2 Double Beds Room 1 Non-Smoking,1,20070408,0,
5,1,12,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,115,Rate 3,Rack Rate Combined with Additional Hotel Services,2 Double Beds Room 3 Non-Smoking,1,20070408,0,
5,1,13,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,125,Rate 3,Rack Rate Combined with Additional Hotel Services,2 Double Beds Room 2 Non-Smoking,1,20070408,0,
5,1,14,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,115,Rate 3,Rack Rate Combined with Additional Hotel Services,Double Bed Room 1 Non-Smoking,1,20070408,0,
5,1,15,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,155,Rate 3,Rack Rate Combined with Additional Hotel Services,Suite 2 Non-Smoking,1,20070408,0,
5,1,16,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,155,Rate 3,Rack Rate Combined with Additional Hotel Services,Suite 1 Non-Smoking,1,20070408,0,
5,1,17,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,105,Rate 6,Accommodation Combined with Frequent Traveler Rewards,King Room 2 Non-Smoking,1,20070408,0,
5,1,18,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,115,Rate 6,Accommodation Combined with Frequent Traveler Rewards,King Room 1 Non-Smoking,1,20070408,0,
5,1,19,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,105,Rate 6,Accommodation Combined with Frequent Traveler Rewards,2 Double Beds Room 1 Non-Smoking,1,20070408,0,
5,1,20,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,105,Rate 6,Accommodation Combined with Frequent Traveler Rewards,2 Double Beds Room 3 Non-Smoking,1,20070408,0,
5,1,21,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,115,Rate 6,Accommodation Combined with Frequent Traveler Rewards,2 Double Beds Room 2 Non-Smoking,1,20070408,0,
5,1,22,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,105,Rate 6,Accommodation Combined with Frequent Traveler Rewards,Double Bed Room 1 Non-Smoking,1,20070408,0,
5,1,23,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,145,Rate 6,Accommodation Combined with Frequent Traveler Rewards,Suite 2 Non-Smoking,1,20070408,0,
5,1,24,0,20070408,20070408,20070409,CRO/Hotel,-1,1,1,1,95,95,Rate 2,King Room 1 Non-Smoking,1,145,Rate 6,Accommodation Combined with Frequent Traveler Rewards,Suite 1 Non-Smoking,1,20070408,0,
5,2,1,1,20070408,20070408,20070409,WEB,0,1,1,1,95,95,Rate 2,King Room 2 Non-Smoking,1,95,Rate 2,Rack Rate - Unrestricted Rate,King Room 2 Non-Smoking,0,,0,
5,2,2,0,20070408,20070408,20070409,WEB,0,1,1,1,95,95,Rate 2,King Room 2 Non-Smoking,1,95,Rate 2,Rack Rate - Unrestricted Rate,2 Double Beds Room 1 Non-Smoking,0,,0,
5,2,3,0,20070408,20070408,20070409,WEB,0,1,1,1,95,95,Rate 2,King Room 2 Non-Smoking,1,95,Rate 2,Rack Rate - Unrestricted Rate,2 Double Beds Room 3 Non-Smoking,0,,0,
